Dataset,Fold,Seed,Band Selection,Band Param,Int. Attention Stages,Fusion Mechanism,Input Bands,OA,AA,Kappa,Run Time (s),Status
Botswana,1,42,SWGMF,30.0,[],AdaptiveWeight,30,0.9796153846153847,0.981107489079446,0.9779141749325565,11.58979606628418,Success
Botswana,1,42,SWGMF,30.0,[1],AdaptiveWeight,30,0.97,0.972877700577454,0.9674989843432608,11.605144739151001,Success
Botswana,1,42,E-FDPC,2.5,[],AdaptiveWeight,20,0.9957692307692307,0.9963455149501661,0.9954162332656453,11.827192068099976,Success
Botswana,1,42,E-FDPC,2.5,[1],AdaptiveWeight,20,0.9973076923076923,0.9976744186046511,0.9970831052172029,14.703296661376953,Success
Botswana,1,42,None,N/A,[],AdaptiveWeight,145,0.9965384615384615,0.9970099667774086,0.9962497541906192,14.141167163848877,Success
Botswana,1,42,None,N/A,[1],AdaptiveWeight,145,0.9984615384615385,0.9986695438879748,0.9983332807141507,17.121227264404297,Success
Botswana,2,43,SWGMF,30.0,[],AdaptiveWeight,30,0.9738461538461538,0.9720056034318534,0.9716585184907327,8.407796621322632,Success
Botswana,2,43,SWGMF,30.0,[1],AdaptiveWeight,30,0.9773076923076923,0.9799622446762195,0.9754165918133405,15.464550495147705,Success
Botswana,2,43,E-FDPC,2.5,[],AdaptiveWeight,20,0.9965384615384615,0.997011504860342,0.9962497577968578,11.958043813705444,Success
Botswana,2,43,E-FDPC,2.5,[1],AdaptiveWeight,20,0.9980769230769231,0.9983388704318937,0.9979165327771865,15.660094976425171,Success
Botswana,2,43,None,N/A,[],AdaptiveWeight,145,0.9957692307692307,0.9963958322347027,0.9954163978207696,13.226233959197998,Success
Botswana,2,43,None,N/A,[1],AdaptiveWeight,145,0.9969230769230769,0.9973421926910299,0.996666452977755,17.859185934066772,Success
Botswana,3,44,SWGMF,30.0,[],AdaptiveWeight,30,0.9684615384615385,0.9672410149880072,0.9658289688602855,10.771899461746216,Success
Botswana,3,44,SWGMF,30.0,[1],AdaptiveWeight,30,0.9730769230769231,0.975682096000958,0.9708408240639465,15.227409839630127,Success
Botswana,3,44,E-FDPC,2.5,[],AdaptiveWeight,20,0.9961538461538462,0.9966777408637874,0.9958331490303097,12.45337700843811,Success
Botswana,3,44,E-FDPC,2.5,[1],AdaptiveWeight,20,0.9965384615384615,0.9970099667774086,0.9962499146615196,14.917019844055176,Success
Botswana,3,44,None,N/A,[],AdaptiveWeight,145,0.9942307692307693,0.9951793341921487,0.9937499549275596,11.411288261413574,Success
Botswana,3,44,None,N/A,[1],AdaptiveWeight,145,0.9965384615384615,0.9970084143198683,0.9962499296861816,17.920242071151733,Success
Botswana,4,45,SWGMF,30.0,[],AdaptiveWeight,30,0.9688461538461538,0.9652235896977162,0.9662367544190413,10.389422416687012,Success
Botswana,4,45,SWGMF,30.0,[1],AdaptiveWeight,30,0.9792307692307692,0.9787203949142979,0.9774949255384988,10.903630256652832,Success
Botswana,4,45,E-FDPC,2.5,[],AdaptiveWeight,20,0.9892307692307692,0.9908440120234141,0.9883340138491922,12.812095880508423,Success
Botswana,4,45,E-FDPC,2.5,[1],AdaptiveWeight,20,0.99,0.9913621262458472,0.9891674652189102,13.58619213104248,Success
Botswana,4,45,None,N/A,[],AdaptiveWeight,145,0.995,0.9956810631229237,0.9945832847217859,12.140151262283325,Success
Botswana,4,45,None,N/A,[1],AdaptiveWeight,145,0.9923076923076923,0.9934530401307811,0.9916668629761446,10.834138870239258,Success
Botswana,5,46,SWGMF,30.0,[],AdaptiveWeight,30,0.9623076923076923,0.9661867471840725,0.9591655345572883,11.332645893096924,Success
Botswana,5,46,SWGMF,30.0,[1],AdaptiveWeight,30,0.9661538461538461,0.9700195710186605,0.9633322403520361,12.308650255203247,Success
Botswana,5,46,E-FDPC,2.5,[],AdaptiveWeight,20,0.9911538461538462,0.9921753222022167,0.990416682024548,9.551557540893555,Success
Botswana,5,46,E-FDPC,2.5,[1],AdaptiveWeight,20,0.9973076923076923,0.9978095528168937,0.9970832907979909,10.321727514266968,Success
Botswana,5,46,None,N/A,[],AdaptiveWeight,145,0.9984615384615385,0.9986710963455149,0.9983332254203637,13.733908414840698,Success
Botswana,5,46,None,N/A,[1],AdaptiveWeight,145,0.9988461538461538,0.9990440029832531,0.9987499292828584,15.790451288223267,Success
Botswana,6,47,SWGMF,30.0,[],AdaptiveWeight,30,0.9773076923076923,0.9700791201239394,0.9754085916994218,10.105831384658813,Success
Botswana,6,47,SWGMF,30.0,[1],AdaptiveWeight,30,0.9669230769230769,0.9647750619224363,0.9641670054722239,15.253117561340332,Success
Botswana,6,47,E-FDPC,2.5,[],AdaptiveWeight,20,0.9903846153846154,0.9825799965028851,0.9895795408873966,12.377042770385742,Success
Botswana,6,47,E-FDPC,2.5,[1],AdaptiveWeight,20,0.9907692307692307,0.9835198461269453,0.9899974111889536,11.648356437683105,Success
Botswana,6,47,None,N/A,[],AdaptiveWeight,145,0.9869230769230769,0.9795868583652131,0.9858286299828036,9.179104804992676,Success
Botswana,6,47,None,N/A,[1],AdaptiveWeight,145,0.9903846153846154,0.9825799965028851,0.9895807719397686,12.70569396018982,Success
Botswana,7,48,SWGMF,30.0,[],AdaptiveWeight,30,0.9715384615384616,0.9730212384355731,0.9691626637432103,8.115197896957397,Success
Botswana,7,48,SWGMF,30.0,[1],AdaptiveWeight,30,0.9723076923076923,0.9755032298514889,0.9700004759539873,14.936206340789795,Success
Botswana,7,48,E-FDPC,2.5,[],AdaptiveWeight,20,0.9784615384615385,0.9802961322341167,0.9766645687216431,7.6364521980285645,Success
Botswana,7,48,E-FDPC,2.5,[1],AdaptiveWeight,20,0.9911538461538462,0.9906519636731794,0.9904159632229417,12.229403495788574,Success
Botswana,7,48,None,N/A,[],AdaptiveWeight,145,0.9907692307692307,0.9909273614699972,0.9899997403778752,12.168720006942749,Success
Botswana,7,48,None,N/A,[1],AdaptiveWeight,145,0.995,0.9956810631229237,0.9945834713506498,16.022446870803833,Success
Botswana,8,49,SWGMF,30.0,[],AdaptiveWeight,30,0.9784615384615385,0.9803678081483158,0.9766638506217177,11.866284132003784,Success
Botswana,8,49,SWGMF,30.0,[1],AdaptiveWeight,30,0.9703846153846154,0.9693341024728248,0.967908211714753,10.22068476676941,Success
Botswana,8,49,E-FDPC,2.5,[],AdaptiveWeight,20,0.9961538461538462,0.9967265200653905,0.9958331764096885,12.072083234786987,Success
Botswana,8,49,E-FDPC,2.5,[1],AdaptiveWeight,20,0.9969230769230769,0.9961849606790446,0.9966663530687903,14.492156982421875,Success
Botswana,8,49,None,N/A,[],AdaptiveWeight,145,0.9938461538461538,0.9928676665824768,0.9933324635617531,13.089598894119263,Success
Botswana,8,49,None,N/A,[1],AdaptiveWeight,145,0.9957692307692307,0.9945226438188495,0.995416129678012,18.05158495903015,Success
Botswana,9,50,SWGMF,30.0,[],AdaptiveWeight,30,0.9511538461538461,0.9513941629810726,0.947075063812054,11.805659055709839,Success
Botswana,9,50,SWGMF,30.0,[1],AdaptiveWeight,30,0.9542307692307692,0.9603691210817485,0.9504199799468529,15.373953580856323,Success
Botswana,9,50,E-FDPC,2.5,[],AdaptiveWeight,20,0.9896153846153846,0.9910314384151594,0.9887507463447137,10.248994827270508,Success
Botswana,9,50,E-FDPC,2.5,[1],AdaptiveWeight,20,0.9926923076923077,0.9932428068272247,0.9920833206463472,15.812405109405518,Success
Botswana,9,50,None,N/A,[],AdaptiveWeight,145,0.995,0.9945145949036489,0.9945830095292555,12.921261310577393,Success
Botswana,9,50,None,N/A,[1],AdaptiveWeight,145,0.9919230769230769,0.9919344773320631,0.9912497503935208,18.15652108192444,Success
Botswana,10,51,SWGMF,30.0,[],AdaptiveWeight,30,0.9576923076923077,0.9586421071014684,0.95416461729619,11.534454345703125,Success
Botswana,10,51,SWGMF,30.0,[1],AdaptiveWeight,30,0.9684615384615385,0.9653095582963743,0.9658204119153379,12.676456451416016,Success
Botswana,10,51,E-FDPC,2.5,[],AdaptiveWeight,20,0.9938461538461538,0.9946889996308601,0.9933331399516556,10.216888189315796,Success
Botswana,10,51,E-FDPC,2.5,[1],AdaptiveWeight,20,0.9934615384615385,0.9943521594684386,0.9929166519096915,15.316737651824951,Success
Botswana,10,51,None,N/A,[],AdaptiveWeight,145,0.9938461538461538,0.9946843853820598,0.9933330416539057,14.187231063842773,Success
Botswana,10,51,None,N/A,[1],AdaptiveWeight,145,0.9946153846153846,0.9953488372093023,0.9941663731155702,18.115208625793457,Success
